Epoch: 1	 Loss: 1.4292012197201358	 Accuracy: 0.5064130673098005
Epoch: 2	 Loss: 1.2710772555430085	 Accuracy: 0.5345319008989257
Epoch: 3	 Loss: 1.2273417331492318	 Accuracy: 0.5536614777461083
Epoch: 4	 Loss: 1.1759656066304889	 Accuracy: 0.5736680552510415
Epoch: 5	 Loss: 1.1369758556611025	 Accuracy: 0.5929620697215523
Epoch: 6	 Loss: 1.1191007287532084	 Accuracy: 0.5980048235036176
Epoch: 7	 Loss: 1.1003434921475361	 Accuracy: 0.6079807059855294
Epoch: 8	 Loss: 1.079676800457905	 Accuracy: 0.6181210260907696
Epoch: 9	 Loss: 1.0904643671393943	 Accuracy: 0.6162025871519403
Epoch: 10	 Loss: 1.0496933782239202	 Accuracy: 0.6266169699627274
Epoch: 11	 Loss: 1.0381827507069226	 Accuracy: 0.6308923481692611
Epoch: 12	 Loss: 1.0487610799809919	 Accuracy: 0.6294672221004166
Epoch: 13	 Loss: 1.0297477724938455	 Accuracy: 0.6368669151501863
Epoch: 14	 Loss: 1.0114871931687648	 Accuracy: 0.6382920412190309
Epoch: 15	 Loss: 0.995479950803436	 Accuracy: 0.6445406709055032
Epoch: 16	 Loss: 0.9799896594176976	 Accuracy: 0.6535299276474458
Epoch: 17	 Loss: 0.9641672603212619	 Accuracy: 0.6538039903529927
Epoch: 18	 Loss: 0.949564336031525	 Accuracy: 0.6633413725060294
Epoch: 19	 Loss: 0.9360700727057965	 Accuracy: 0.6682196886647666
Epoch: 20	 Loss: 0.9506812436986821	 Accuracy: 0.6595593071694804
Epoch: 21	 Loss: 0.9494129602283377	 Accuracy: 0.6606555579916685
Epoch: 22	 Loss: 0.9036310858578568	 Accuracy: 0.6763319447489585
Epoch: 23	 Loss: 0.8948363817148474	 Accuracy: 0.6797303222977418
Epoch: 24	 Loss: 0.8975560009100542	 Accuracy: 0.681265073448805
Epoch: 25	 Loss: 0.876610600328895	 Accuracy: 0.6846634509975883
Epoch: 26	 Loss: 0.8653628685787513	 Accuracy: 0.6886099539574655
Epoch: 27	 Loss: 0.8495042991073631	 Accuracy: 0.6936527077395308
