Epoch: 1	Loss: 1.1375632351120737	Accuracy: 0.6002372479240806
Epoch: 2	Loss: 1.0678920377710206	Accuracy: 0.6120996441281139
Epoch: 3	Loss: 1.187272791147892	    Accuracy: 0.5856069592724397
Epoch: 4	Loss: 1.0211687849981128	Accuracy: 0.6291024120205615
Epoch: 5	Loss: 1.0299673153506574	Accuracy: 0.6247528667457493
Epoch: 6	Loss: 1.0144205765085006	Accuracy: 0.6401739818109925
Epoch: 7	Loss: 0.9636267641873735	Accuracy: 0.6540134440490313
Epoch: 8	Loss: 0.9597569980278181	Accuracy: 0.649663898774219
Epoch: 9	Loss: 0.9212249202566121	Accuracy: 0.6611308817714512
Epoch: 10	Loss: 0.9207600611101832	Accuracy: 0.6650850138394623
Epoch: 11	Loss: 0.9087785433148527	Accuracy: 0.6662712534598656
Epoch: 12	Loss: 0.9336811990641756	Accuracy: 0.6591538157374456
Epoch: 13	Loss: 0.8963863524159409	Accuracy: 0.6627125345986556
Epoch: 14	Loss: 0.8903716016353096	Accuracy: 0.6714116251482799
Epoch: 15	Loss: 0.8578990025216763	Accuracy: 0.6856465005931198
Epoch: 16	Loss: 0.8595961780829032	Accuracy: 0.6876235666271253
Epoch: 17	Loss: 0.8513012181491708	Accuracy: 0.6777382364570976
Epoch: 18	Loss: 0.8329882883610769	Accuracy: 0.6979043100039541
Epoch: 19	Loss: 0.8333618305873947	Accuracy: 0.6963226571767497
Epoch: 20	Loss: 0.8425035533248884	Accuracy: 0.6868327402135231
Epoch: 21	Loss: 0.8284427281564853	Accuracy: 0.6947410043495452
Epoch: 22	Loss: 0.8847380739136994	Accuracy: 0.7058125741399762
Epoch: 23	Loss: 0.8740983189872811	Accuracy: 0.6963226571767497
Epoch: 24	Loss: 0.9066353963740309	Accuracy: 0.7014630288651641
Epoch: 25	Loss: 0.8702661249655516	Accuracy: 0.7216291024120206
Epoch: 26	Loss: 0.9705725590105159	Accuracy: 0.7093712930011863
